name,salary_from,salary_to,salary_currency,area_name,published_at
Монтажник систем контроля транспорта,50000,100000,RUR,Кемерово,2022-12-19T05:09:41+0300
Системный администратор,,,,Владивосток,2022-12-19T03:25:23+0300
Механик по ремонту грузоподъемных механизмов,50000,55000,RUR,Красноярск,2022-12-19T04:53:29+0300
Зуборезчик,30000,,RUR,Барнаул,2022-12-19T03:33:58+0300
Токарь-расточник,35000,50000,RUR,Барнаул,2022-12-19T03:33:57+0300
Сервисный инженер,,,,Кемерово,2022-12-19T01:03:24+0300
Системный администратор,31500,,RUR,Кемерово,2022-12-19T05:59:18+0300
"Сервис-менеджер, г. Рубцовск",28000,28000,RUR,Рубцовск,2022-12-19T05:01:34+0300
Руководитель проектного офиса,,,,Владивосток,2022-12-19T04:15:00+0300
Руководитель отдела по информационной безопасности,,,,Кемерово,2022-12-19T05:24:39+0300
Ведущий программист 1С,,,,Хабаровск,2022-12-19T02:23:16+0300
Программист 1С,30000,40000,RUR,Чита,2022-12-19T03:18:36+0300
Программист 1С,100000,,RUR,Владивосток,2022-12-19T04:15:01+0300
Преподаватель программирования,20000,50000,RUR,Екатеринбург,2022-12-19T05:15:35+0300
Начальник ремонтно-механического цеха,60000,,RUR,Красноярск,2022-12-19T04:53:37+0300
Системный администратор,,,,Иркутск,2022-12-19T05:44:25+0300
Ведущий инженер-механик ХКЦ,,,,Новосибирск,2022-12-19T05:18:09+0300
Токарь на ДИП,30000,50000,RUR,Барнаул,2022-12-19T03:33:57+0300
Электромеханик,56700,,RUR,Красноярск,2022-12-19T05:08:46+0300
Специалист по эксплуатации радиоподсистемы,30000,,RUR,Березники,2022-12-19T05:16:41+0300
Руководитель транспортного отдела,50000,,RUR,Якутск,2022-12-19T04:04:57+0300
Токарь-карусельщик,40000,,RUR,Барнаул,2022-12-19T03:33:57+0300
UX writer,1400,2000,USD,Армения,2022-12-19T02:05:10+0300
Инженер-аналитик в области оптоэлектронных технологий,50000,80000,RUR,Москва,2022-12-19T00:20:01+0300
Специалист по информационной безопасности,,,,Кемерово,2022-12-19T05:24:34+0300
"Токарь-фрезеровщик (пищевое машиностроение), г. Лобня",115000,140000,RUR,Москва,2022-12-19T03:29:22+0300
Механик по ремонту горного оборудования,,,,Кемерово,2022-12-19T01:03:24+0300
Программист 1С,90000,,RUR,Благовещенск (Амурская область),2022-12-19T03:42:45+0300
Программист 1С (Академгородок),130000,,RUR,Новосибирск,2022-12-19T05:38:44+0300
Программист 1С,,,,Владивосток,2022-12-19T03:03:40+0300
Инженер по подключению и сопровождению корпоративных клиентов,73000,,RUR,Новый Уренгой,2022-12-19T05:17:25+0300
Аналитик 1С,60000,100000,RUR,Владивосток,2022-12-19T04:15:01+0300
